CODE,DISTRICT,STATE,pincode
110043,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110043"
110078,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110078"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110043,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110043"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110073,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110073"
110064,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110064"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110078,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110078"
110043,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110043"
110046,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110046"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110045,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110045"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110077,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110077"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110073,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110073"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110046,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110046"
110064,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110064"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110073,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110073"
110058,WEST DELHI,DELHI,"DELHI, WEST DELHI 110058"
110018,WEST DELHI,DELHI,"DELHI, WEST DELHI 110018"
110026,WEST DELHI,DELHI,"DELHI, WEST DELHI 110026"
110058,WEST DELHI,DELHI,"DELHI, WEST DELHI 110058"
110015,WEST DELHI,DELHI,"DELHI, WEST DELHI 110015"
110058,WEST DELHI,DELHI,"DELHI, WEST DELHI 110058"
110018,WEST DELHI,DELHI,"DELHI, WEST DELHI 110018"
110015,WEST DELHI,DELHI,"DELHI, WEST DELHI 110015"
110059,WEST DELHI,DELHI,"DELHI, WEST DELHI 110059"
110058,WEST DELHI,DELHI,"DELHI, WEST DELHI 110058"
110015,WEST DELHI,DELHI,"DELHI, WEST DELHI 110015"
110015,WEST DELHI,DELHI,"DELHI, WEST DELHI 110015"
110018,WEST DELHI,DELHI,"DELHI, WEST DELHI 110018"
110064,WEST DELHI,DELHI,"DELHI, WEST DELHI 110064"
110064,WEST DELHI,DELHI,"DELHI, WEST DELHI 110064"
110064,WEST DELHI,DELHI,"DELHI, WEST DELHI 110064"
110015,WEST DELHI,DELHI,"DELHI, WEST DELHI 110015"
110015,WEST DELHI,DELHI,"DELHI, WEST DELHI 110015"
110027,WEST DELHI,DELHI,"DELHI, WEST DELHI 110027"
